id,value,color
IT,
IT.开发,
IT.硬件,
IT.产品,
IT.开发.算法工程师,11658,#CA212F
IT.开发.前端工程师,7728,#E54F24
IT.开发.深度学习,11169,#FF9900
IT.开发.数据分析师,10083,#F6854D
IT.开发.区块链,18277,#D6BA33
IT.硬件.电气工程师,7329,#5FA134
IT.硬件.设备工程师,8120,#005F0F
IT.硬件.测试工程师,7728,#6DB33F
IT.产品.产品经理,6129,#2E2575
IT.产品.产品运营,5989,#563B7E
